album_title_length,artist_name_length,track_duration,track_favourites,track_genres,track_interest,track_listens,track_title_length
9,11,116,1,'Noise',1559,408,17
20,4,189,0,'Experimental',320,41,8
17,7,289,1,'Rock',529,431,17
12,4,181,0,'Experimental',1667,251,27
11,12,236,4,'Latin America',3132,2697,38
52,9,127,1,'Rock',760,639,14
4,17,502,0,'Folk',524,347,27
11,8,806,19,'Noise',10447,7798,8
48,6,174,0,Avant-Garde',1032,695,28
18,15,574,0,'Experimental',2000,1227,13
30,12,171,1, 'Choral Music',2153,1924,7
9,18,271,0,'Punk',585,60,4
38,9,215,0,'Psych-Rock',156,172,10
15,19,454,1,'Experimental',785,554,5
38,20,128,3,'Noise',1468,1111,37
39,9,231,2,'Rock',241,223,15
8,12,250,3,Avant-Garde',1236,791,12
29,13,308,0,Avant-Garde',1508,1187,9
18,8,458,0,'Noise',591,396,11
53,13,120,0,'Industrial',243,160,26
14,9,62,7,'Ambient Electronic',7455,2229,8
4,11,191,1,'Folk',343,273,6
11,20,128,1,'Experimental',964,188,1
42,15,213,6,Blues',8174,6727,42
14,10,275,10,'Afrobeat',32949,28098,24
26,11,451,0,'Electronic',500,317,30
26,7,72,7,'Soundtrack',5448,4815,16
17,11,61.15,0,Comedy',487,377,12
9,9,33,1,'Electronic',1721,503,13
39,10,181,2,Classical',6919,6098,13
1,13,156,20,'Pop',2594,1850,15
24,8,300,5,'Electronic',4176,3236,11
35,17,498,0,'Electronic',725,547,12
26,8,46,0,Avant-Garde',484,421,8
10,12,215,1,'Rock',2152,764,19
11,10,272,3,'Lo-Fi',972,287,9
46,6,142,0,'Punk',676,576,15
20,30,255,0, 'Improv',741,154,36
23,14,102,1,Avant-Garde',409,241,22
12,13,488,4,'Electronic',551,339,8
19,3,191,2, 'Ambient',1475,1259,39
42,12,410,36,'Electronic',55978,44182,25
17,10,170,6,'Folk',2895,2326,7
10,10,263,9,'Pop',5566,2197,15
19,9,267,2,'Electronic',1221,383,2
31,5,239,1,'Experimental',3042,2065,12
47,17,204,1,'Rock',433,308,14
27,6,330,4, 'Downtempo',3646,1578,8
20,25,174,7, 'Ambient',3190,2229,18
10,30,216,0,'Folk',904,80,16
30,13,207,0, 'Compilation',629,509,9
35,8,275,0,'Electronic',890,682,27
62,13,220,5,'Pop',873,607,14
40,32,755,0,Jazz',2565,476,53
10,30,478,0,'Experimental',132,105,8
16,16,309,2,'Indie-Rock',2104,1889,13
17,17,318,2,'Noise-Rock',1179,409,12
8,31,458,0,Avant-Garde',1383,965,44
17,13,344,0,'Reggae - Dub',1194,800,28
15,13,148,0, 'IDM',788,645,22
15,23,221,3,'Electronic',1491,1119,14
8,17,37,0,'Rock',862,342,21
17,8,194,15,'Metal',13665,8843,11
15,5,175,0, 'House',1697,1244,10
3,22,276,3,'Noise',432,334,113
12,8,258,0,Avant-Garde',1183,290,19
48,21,109,0,Novelty',847,551,9
37,7,425,2,'Electronic',1253,694,22
22,29,242,1,'Psych-Rock',2399,1202,13
7,9,254,0,Avant-Garde',1075,703,13
9,8,263,1,'Experimental',595,111,16
66,12,164,6,Country',4513,2528,10
15,14,216,0,Avant-Garde',591,451,13
15,13,113,25,International',15503,8447,34
10,13,146,2, 'Minimalism',4621,3408,34
14,19,314,0,'Experimental',204,86,10
33,17,277,4, 'IDM',2604,1860,28
18,14,87,24,'Electronic',20576,15024,12
12,13,109,38,Jazz',32000,18045,12
34,5,180,24,'Electronic',32601,23436,39
